id,name,url
blues,Blues,https://www.footywire.com/afl/footy/th-carlton-blues
bombers,Bombers,https://www.footywire.com/afl/footy/th-essendon-bombers
bulldogs,Bulldogs,https://www.footywire.com/afl/footy/th-western-bulldogs
cats,Cats,https://www.footywire.com/afl/footy/th-geelong-cats
crows,Crows,https://www.footywire.com/afl/footy/th-adelaide-crows
demons,Demons,https://www.footywire.com/afl/footy/th-melbourne-demons
dockers,Dockers,https://www.footywire.com/afl/footy/th-fremantle-dockers
eagles,Eagles,https://www.footywire.com/afl/footy/th-west-coast-eagles
giants,Giants,https://www.footywire.com/afl/footy/th-greater-western-sydney-giants
hawks,Hawks,https://www.footywire.com/afl/footy/th-hawthorn-hawks
kangaroos,Kangaroos,https://www.footywire.com/afl/footy/th-kangaroos
lions,Lions,https://www.footywire.com/afl/footy/th-brisbane-lions
magpies,Magpies,https://www.footywire.com/afl/footy/th-collingwood-magpies
power,Power,https://www.footywire.com/afl/footy/th-port-adelaide-power
saints,Saints,https://www.footywire.com/afl/footy/th-st-kilda-saints
suns,Suns,https://www.footywire.com/afl/footy/th-gold-coast-suns
swans,Swans,https://www.footywire.com/afl/footy/th-sydney-swans
tigers,Tigers,https://www.footywire.com/afl/footy/th-richmond-tigers
